question_id,question_name
15,%_SEVERE_HOUSING_PROBLEMS
20,SEGREGATION_INDEX
28,%_LIMITED_ACCESS_TO_HEALTHY_FOODS
41,#_RURAL_RESIDENTS
81,SCHOOL_SEGREGATION_IDX
86,INADEQUATE_FACILITIES
144,RESIDENTIAL_SEGREGATION_IDX
147,SEVERE_HOUSING_COST_BURDEN
175,%_RURAL
196,#_LIMITED_ACCESS
241,OVERCROWDING
242,%_SEVERE_HOUSING_COST_BURDEN
5,%_SCREENED_(AIAN)
50,%_SCREENED_(WHITE)
59,%_WITH_ANNUAL_MAMMOGRAM
102,%_SCREENED_(ASIAN)
107,%_SCREENED_(BLACK)
227,%_SCREENED_(HISPANIC)
4,PREVENTABLE_HOSP._RATE_(BLACK)
7,AGE-ADJUSTED_DEATH_RATE
8,%_ADULTS_WITH_DIABETES
10,DRUG_OVERDOSE_MORTALITY_RATE_(WHITE)
11,#_CHILDREN_IN_SINGLE-PARENT_HOUSEHOLDS
12,AGE-ADJUSTED_MORTALITY_(ASIAN)
13,%_CHILDREN_IN_POVERTY_(BLACK)
14,LIFE_EXPECTANCY_(ASIAN)
15,%_SEVERE_HOUSING_PROBLEMS
18,INFANT_MORTALITY_RATE_(BLACK)
23,CHILD_MORTALITY_NO_DEATHS
24,#_HIV_CASES
25,TEEN_BIRTH_RATE
28,%_LIMITED_ACCESS_TO_HEALTHY_FOODS
32,%_CHILDREN_IN_POVERTY_(AIAN)
33,%_FAIR_OR_POOR_HEALTH
34,#_DEATHS_DUE_TO_COVID-19_DURING_2020
37,LIFE_EXPECTANCY
39,AGE-ADJUSTED_MORTALITY_(HISPANIC)
40,LIFE_EXPECTANCY_(AIAN)
42,MV_MORTALITY_RATE_(AIAN)
43,%_LBW_(BLACK)
47,PREVENTABLE_HOSP._RATE_(AIAN)
48,%_LBW_(ASIAN)
51,CHILD_MORTALITY_RATE
53,COVID-19_DEATH_RATE
54,SUICIDE_RATE_(AGE-ADJUSTED)
56,INJURY_DEATH_RATE_(BLACK)
57,LIFE_EXPECTANCY_(HISPANIC)
58,AGE-ADJUSTED_MORTALITY_(AIAN)
60,INFANT_MORTALITY_RATE_(ASIAN)
61,INJURY_DEATH_RATE
66,INFANT_MORTALITY_RATE_(HISPANIC)
69,TEEN_BIRTH_RATE_(HISPANIC)
71,INJURY_DEATH_RATE_(ASIAN)
72,%_ADULTS_WITH_OBESITY
74,HOMICIDE_RATE_(BLACK)
79,PREVENTABLE_HOSPITALIZATION_RATE
85,MV_MORTALITY_RATE_(ASIAN)
90,PREVENTABLE_HOSP._RATE_(HISPANIC)
91,CHILD_MORTALITY_RATE_(ASIAN)
93,YPLL_RATE_(ASIAN)
96,#_CHLAMYDIA_CASES
97,YEARS_OF_POTENTIAL_LIFE_LOST_RATE
98,LIFE_EXPECTANCY_(BLACK)
100,MV_MORTALITY_RATE_(BLACK)
101,YPLL_RATE_(WHITE)
105,#_ALCOHOL-IMPAIRED_DRIVING_DEATHS
108,INJURY_DEATH_RATE_(AIAN)
109,PREMATURE_AGE_ADJUSTED_MORTALITY_NO_DEATHS
110,#_DRUG_OVERDOSE_DEATHS
112,CHLAMYDIA_RATE
114,HOMICIDE_RATE
119,MOTOR_VEHICLE_MORTALITY_RATE
120,%_CHILDREN_IN_POVERTY_(ASIAN)
123,#_HOUSEHOLDS_WITH_SEVERE_COST_BURDEN
124,HOMICIDE_RATE_(AIAN)
126,YPLL_RATE_(AIAN)
131,CHILD_MORTALITY_RATE_(HISPANIC)
133,PREVENTABLE_HOSP._RATE_(WHITE)
135,INFANT_MORTALITY_RATE_(AIAN)
137,INJURY_DEATH_RATE_(WHITE)
141,VIOLENT_CRIME_RATE
143,INJURY_DEATH_RATE_(HISPANIC)
147,SEVERE_HOUSING_COST_BURDEN
148,AGE-ADJUSTED_MORTALITY_(WHITE)
149,LIFE_EXPECTANCY_(WHITE)
152,#_MOTOR_VEHICLE_DEATHS
153,MV_MORTALITY_RATE_(WHITE)
154,ANNUAL_AVERAGE_VIOLENT_CRIMES
155,INFANT_MORTALITY_NO_DEATHS
156,%_PHYSICALLY_INACTIVE
157,HOMICIDE_RATE_(HISPANIC)
159,CHILD_MORTALITY_RATE_(WHITE)
163,#_DRIVING_DEATHS
164,MENTAL_HEALTH_PROVIDER_RATE
167,HOMICIDE_RATE_(WHITE)
168,SUICIDE_RATE_(HISPANIC)
169,INFANT_MORTALITY_RATE_(WHITE)
171,AVERAGE_NUMBER_OF_MENTALLY_UNHEALTHY_DAYS
172,%_DRIVING_DEATHS_WITH_ALCOHOL_INVOLVEMENT
173,SUICIDE_RATE_(BLACK)
174,YPLL_RATE_(HISPANIC)
178,INFANT_MORTALITY_RATE
180,TEEN_BIRTH_RATE_(AIAN)
182,TEEN_BIRTH_RATE_(ASIAN)
183,HIV_PREVALENCE_RATE
184,%_CHILDREN_IN_POVERTY_(WHITE)
186,%_FREQUENT_PHYSICAL_DISTRESS
187,%_CHILDREN_IN_POVERTY
188,CHILD_MORTALITY_RATE_(BLACK)
189,%_CHILDREN_IN_POVERTY_(HISPANIC)
191,TEEN_BIRTH_RATE_(WHITE)
193,#_MENTAL_HEALTH_PROVIDERS
194,DRUG_OVERDOSE_MORTALITY_RATE_(AIAN)
195,AGE-ADJUSTED_MORTALITY_(BLACK)
198,AVERAGE_NUMBER_OF_PHYSICALLY_UNHEALTHY_DAYS
200,SUICIDE_RATE_(WHITE)
201,#_DEATHS
203,%_FREQUENT_MENTAL_DISTRESS
205,DRUG_OVERDOSE_MORTALITY_RATE_(ASIAN)
206,MENTAL_HEALTH_PROVIDER_RATIO
208,#_INJURY_DEATHS
209,TEEN_BIRTH_RATE_(BLACK)
210,SUICIDE_RATE_(ASIAN)
211,%_LBW_(WHITE)
212,%_LBW_(HISPANIC)
217,MV_MORTALITY_RATE_(HISPANIC)
219,DRUG_OVERDOSE_MORTALITY_RATE
220,%_LOW_BIRTHWEIGHT
221,YPLL_RATE_(BLACK)
226,CHILD_MORTALITY_RATE_(AIAN)
229,SUICIDE_RATE_(AIAN)
230,DRUG_OVERDOSE_MORTALITY_RATE_(BLACK)
231,%_LBW_(AIAN)
235,%_FEMALE
236,DEATHS
237,DRUG_OVERDOSE_MORTALITY_RATE_(HISPANIC)
238,%_INSUFFICIENT_SLEEP
242,%_SEVERE_HOUSING_COST_BURDEN
245,PREVENTABLE_HOSP._RATE_(ASIAN)
246,HOMICIDE_RATE_(ASIAN)
247,%_CHILDREN_IN_SINGLE-PARENT_HOUSEHOLDS
505,%_LBW
547,"PRIVATE: PERCENT OF ADULTS WHO ARE OVERWEIGHT OR OBESE, 2017 ADULT OVERWEIGHT/OBESITY RATE"
548,"AGE-ADJUSTED CANCER INCIDENCE RATE PER 100,000 POPULATION BY RACE/ETHNICITY, 2020 BLACK"
784,"ADULT POVERTY RATE BY GENDER, 2022 MALE"
553,"TOTAL DIABETES DEATHS BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
554,"ADULTS WHO REPORT FAIR OR POOR HEALTH STATUS BY RACE/ETHNICITY, 2022 ALL ADULTS"
555,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 MULTIPLE RACES"
556,"TOTAL CANCER DEATHS BY SEX, 2022 MALE"
557,"ADULTS WHO REPORT SMOKING BY RACE/ETHNICITY, 2022 HISPANIC"
558,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 BLACK"
559,"TOTAL BREAST CANCER DEATHS BY RACE/ETHNICITY, 2022 BLACK"
561,"TOTAL CANCER DEATHS, 2022 NUMBER OF CANCER DEATHS"
562,"NUMBER OF HEART DISEASE DEATHS PER 100,000 POPULATION, 2022 NUMBER OF HEART DISEASE DEATHS"
563,"AGE-ADJUSTED CANCER INCIDENCE RATE PER 100,000 POPULATION BY RACE/ETHNICITY, 2020 HISPANIC"
565,"AGE-ADJUSTED CANCER INCIDENCE RATE PER 100,000 POPULATION BY RACE/ETHNICITY, 2020 OVERALL"
567,"TOTAL DEATHS, 2022 DEATH RATE PER 100,000"
568,"ADULTS WHO ARE OBESE BY RACE/ETHNICITY, 2022 AMERICAN INDIAN OR ALASKA NATIVE"
569,"TOTAL CANCER DEATHS BY RACE/ETHNICITY, 2022 ASIAN"
570,"ADULTS WHO REPORT SMOKING BY SEX, 2022 ALL ADULTS"
572,"PRIVATE: POVERTY RATE BY METROPOLITAN STATUS, 2016 NONMETROPOLITAN"
573,"ADULTS WHO REPORT BEING TOLD BY A DOCTOR THAT THEY HAVE CARDIOVASCULAR DISEASE BY RACE/ETHNICITY, 2022 OTHER"
574,"ADULTS WHO ARE OBESE BY SEX, 2022 ALL ADULTS"
